english,hungarian
the,a
carpenter,ács
tax,adó
adopted,adoptált
branch,ág
Evangelical,ágostai
bachelor,agglegény
Evangelical,ágostai
legitimacystatus,ágybólszármazó
brainfever,agyláz
lodger,ágyrajáró
stroke,agyszélhűdés
stroke,agyvérzés
who,aki
short,alacsony
signature,aláírás
thorough,alapos
under,alatt
subrenter,albérlő
civil,állami
permanent,állandó
status,állapot
statusof,állapota
pregnant,állapotos
occupation,állás
lower,alsó
undersigned,alulírott
English,angol
mother,anya
registerofbirths,anyakönyv
mother-in-law,anyós
father,apa
father-in-law,após
April,április
orphan,árva
marriedwoman,asszony
dehydration,aszkór
cabinetmaker,asztalos
joiner,asztalos
joiner,asztalos
asthma,asztma
through,át
conversion,áttérés
personsconverted,áttértek
father,atya
August,augusztus
the,az
formerly,azelőtt
they,azok
besides,azonkívül
midwife,bába
left,bal
miner,bányász
miner,bányamíves
Baptist,baptista
friend,barát
brown,barna
baron,báró
elderbrother,báty
Vienna,Bécs
honest,becsületes
declares,bejelent
informant,bejelentő
enteritis,bélgyulladás
inside,belül
hiredfarmworker,béres
renter,bérlő
confirmation,bérmálás
personsbeingconfirmed,bérmálók
disease,betegség
immigration,bevándorlás
immigrant,bevándorló
bibliography,bibliográfia
judge,bíró
empire,birodalom
court,bíróság
landowningfarmer,birtokos
vagrant,bitang
certificate,bizonyítvány
certain,bizonyos
testimonies,bizonyságok
uncertain,bizonytalan
cooper,bodnár
wheelmaker,bognár
happy,boldog
shopkeeper,boltos
barber,borbély
purpose,cél
gypsy,cigány
title,cím
coatofarms,címer
directory,címtár
burialground,cinterem
shoemaker,cipész
only,csak
family,család
pedigree,családfa
headofhousehold,családfő
maritalstatusof,családiállapota
familybook,családikönyv
familyname,családinév
familymember,családtag
genealogy,családtörténet
infant,csecsemő
czech,cseh
Bohemia,Csehország
servant,cseléd
tanner,cserzővarga
horseherder,csikós
bootmaker,csizmadia
Thursday,csűtörtök
beforenoon,délelőtt
afternoon,élután
tumor,daganat
but,de
December,december
greatgrandmother,dédnagyanya
greatgrandfather,dédnagyapa
south,dél
atnoon,délben
atnoon,déli
intheafternoon,délután
schoolboy,diák
fee,díj
plague,dögvész
domb,dolgozó
hill,domb
westernHungary,Dunántúl
this,e
theymarried,esküdött
sibling,édestestvér
one,egy
theymarried,egybekeltek
individual,egyén
society,egyesület
church,egyház
diocese,egyházkerület
together,együtt
atthesametime,egyúttal
night,éj
midnight,éjfél
atnight,éjjeli
midnight,éjszaka
jeweler,ékszerész
seller,eladó
bury,elás
inthebeginningof,elején
life,élet
age,életkor
biography,életleírás
biography,életrajz
burial,elföldelés
surviving,elhagyott
death,elhalálozás
thedeceased,elhalálozott
thedeceased,elhalt
deceased,elhunyt
tobetrothe,eljegyez
betrothal,eljegyzés
surviving,elmaradott
alive,élő
before,előbb
former,előbbi
previous,előbbi
givenname,előnév
infrontof,előtt
first,első
firstborn,első
firstborn,elsőszülött
lived,élt
burial,eltemetés
placeofburial,eltemetésihelye
buriedperson,eltemetett
onewhoperformstheburial,eltemető
buried,eltemetve
divorced,elvált
man,ember
byconsent,engedéllyel
consent,engedély
bilefever,epeláz
Transylvania,Erdély
forester,erdész
forest,erdő
origin,eredet
ofthisplace,errőlahelyről
valid,érvényes
and,és
marriageceremony,esketés
marriage,eskető
theymarried,esküdött
wedding,esküvő
evening,este
north,észak
observations,észrevételek
year,esztendő
year,év
Evangelical,evangélikus
yearof,éve
yearly,évente
yearvolume,évfolyam
yearbook,évkönyv
century,evszázad
this,ez
ago,ezelőtt
thousand,ezer
son,fi
village,falu
group,faszikul
February,február
white,fehér
head,fej
black,fekete
half,fél
halfcropper,felés
wife,feleség
marriedman,feleségesember
over,felett
ancestry,felmenőágon
upper,felső
half-sibling,féltestvér
upperHungary,Felvidék
husband,férj
man,férfi
husband,férj
husbandof,férje
marriedwoman,férjes
marriedwoman,férjezett
tomarry,férjhezmenni
boy,fi
son,fia
littlesonof,fiacskája
young,fiatal
boy,fiú
brother,fiútestvér
grandson,fiúunoka
brother,fivér
head,fő
occupation,foglalkozás
villageclerk,fjegyző
land,föld
tenantfarmer,földbérlő
landholder,földbirtokos
peasantfarmer,földművelő
peasantfarmer,földműves
current,folyó
river,folyó
periodical,folyóirat
entrynumber,folyószám
HUF,Forint
highfever,forróláz
GreekCatholic,görögkatolikus
Galicia,Gácsország
headofhousehold,gazda
housewife,gazdasszony
abscess,gennyedés
blacksmith,gépészkovács
guardian,gondnok
spasms,görcs
GreekCatholic,görögkatolikus
GreekOrthodox,görögkeleti
count,gróf
stroke,gutaütés
often,gyakran
infantry,gyalogság
guardian,gyám
weakness,gyarlóság
obituary,gyászjelentés
feebleness,gyengeség
child,gyerek
child,gyermek
childbedfever,gyermekágyiláz
children,gyermekek
stomachillness,gyomorfene
inflammation,gyulladás
if,ha
military,hadi
typhoidfever,hagymáz
single,hajadon
thelate,hajdani
atdawn,hajnali
riversailor,hajós
death,halál
causeofdeath,halálneme
causeofdeath,haláloka
fisherman,halász
lastrites,haldoklókszentsége
deadperson,halott
deaths,halottak
died,haltmeg
dead,halva
stillborn,halvaszületett
howmuch,hány
vomiting,hányás
third,harmadik
thirdcropper,harmados
thirty,harminc
three,három
dysentery,hasmenés
six,hat
border,határ
sixth,hatodik
surviving,hátrahagyott
survivingperson,hátramaradt
sixty,hatvan
monthof,hava
house,ház
peddler,házaló
married,házas
marriage,házasság
toentermarriage,házasságraléptek
adulterer,házasságtörő
spouse,házastárs
marriedpersons,házasultak
listingofresidents,háznépösszeírás
housenumber,házszám
housewife,háztartás
mountain,hegy
tuberculosis,hektika
Reformed,helvét
Protestant,
Reformed,helvétikus
place,hely
local,helybeli
correct,helyes
insteadof,helyett
place,helység
gazetteer,helységnévtár
localhistory,helytörténet
butcher,hentes
duke,herceg
week,hét
seven,hét
seventh,hetedik
weeks,hetek
weeksold,hetes
Monday,hétfő
seventy,hetven
missing,hiányzik
mistake,hiba
bridge,híd
chills,hideglelés
smallpox,himlő
male,hímnemű
proclamation,hirdetés
announced,hirdetve
congregation,hitközség
his/herreligion,hitvallása
spouse,hitves
office,hivatal
month,hó
that,hogy
how,hogyan
where,hol
measureoflandarea,hold
lady,hölgy
tomorrow,holnap
deadpersons,holtak
month,hónap
native,honos
citizenshipof,honossága
citizenship,honpolgárság
Croatian,horvát
foralongtime,hosszan
long,hosszú
where,hova
his/heryoungersister,húga
twenty,húsz
twenty-one,huszonegy
prolonged,huzamosan
senior,idősebb
foreign,idegen
fromelsewhere,idegen
nervefever,idegláz
temporary,ideiglenes
here,idehaza
temporary,ideiglenes
dateof,ideje
birthdefect,idétlenszülés
local,idevaló
localperson,idevalósi
time,idő
prematurebirth,időelőttiszületés
senior,dősebb
senior,idősebb
jr,ifjabb
junior,ifjabb
young,ifjú
certificate,igazolás
certificate,igazolvány
yes,igen
twins,ikrek
father-in-law,ipa
apprentice,iparos-tanuló
writing,írás
documents,iratok
literature,irodalom
towrite,írni
clerk,irnok
also,is
school,iskola
unknown,ismeretlen
again,ismét
here,itt
ofthisplace,itteni
generation,íz
Jewish,izraelita
Jewish,izraelita
meek,jámbor
January,január
district,járás
betrothed,jegyes
betrothal,jegyváltás
register,jegyzék
notary,jegyző
presence,jelenlét
inmypresence,jelenlétemben
characteristic,jelleg
good,jó
right,jobb
bondsman,jobbágy
estate,jószág
next,jövő
shepherd,juhász
July,július
June,június
godfather,keresztapa/anya
cooper,kádár
swineherd,kanász
measles,kanyaró
Christmas,karácsony
castle,kastély
propertytaxroll,kataszter
Catholic,katolikus
soldier,katona
military,katonai
about,körölbelül
Tuesday,kedd
blue,kék
boils,kelés
east,kelet
easternorthodox,keletigörög
boils,kelevény
dyer,kelmefestő
dateof,keltje
howemployed,keresetmódja
merchant,kereskedő
godmother,keresztanya
godfather,keresztapa
hechristens,keresztel
personbeingchristened,keresztelendő
baptism,keresztelés
baptism,keresztelő
onewhoperformsthebaptism,keresztelő
baptized,keresztelt
christeningname,keresztnév
godparent,keresztszülő
through,keresztül
gardener,kertész
district,kerület
two,két
two,kettő
twins,kettősgyermek
who,ki
little,kicsi
whose,kié
publicbanns,kihirdetés
nine,kilenc
ninth,kilencedik
ninety,kilencven
kilometer,kilométer
towhom,kinek
king,király
royal,királyi
queen,királynő
kingdom,királyság
little,kis
unmarriedwoman,kisasszony
littlesonof,kisfia
smallhouseholder,kisházas
belowlegalage,kiskorú
littledaughterof,kislánya
emigration,kivándorlás
emigrant,kivándorló
extract,kivonat
coachman,kocsis
innkeeper,kocsmáros
stonemason,kőfaragó
coughing,köhögés
beggar,koldus
pox,köleshimlő
godfather,koma
mason,kőműves
confirmation,konfirmáció
personsbeingconfirmed,konfirmáltak
book,könyv
bibliography,könyvészet
library,könyvtár
age,kor
disease,kór
prematurebirth,koraszülés
around,körül
about,körülbelül
hecircumcizes,körülmetél
circumcision,körülmetélés
volume,kötet
smith,kovács
next,következő
inconsequenceof,következtében
inthemiddleof,közepén
notary,közjegyző
general,közönséges
between,között
common,közrendű
town,község
of,közül
foreigner,külföldi
research,kutatás
daughter,lány
see,lásd
register,lajstrom
residence,lakás
address,lakáscím
dwelling,lakások
locksmith,lakatos
placeofresidence,lakhely
dwellings,lakóházak
directoryofresidents,lakókjegyzéke
inhabitant,lakos
inhabitants,lakosság
daughter,lány
littlegirl,lánykája
granddaughter,lányunoka
page,lap
see,lásd
fever,láz
girl,leány
littlegirl,leánykája
youngman,legény
best,legjobb
eldest,legöregebb
most,legtöbb
description,leírás
pastor,lelkész
descendency,lemenőágon
Polish,lengyel
below,lenn
willbe,lesz
genealogy,leszármazás
letter,levél
archives,levéltár
cavalry,lovasság
Lutheran,luteránus
died,meghalt
county,megye
today,ma
privateperson,magánzó
high,magas
behavior,magaviselet
Hungarian,magyar
Hungary,Magyország
liverdisease,májbaj
May,május
mill,malom
already,már
March,március
other,más
alias,másként
thenextday,másnap
anotherfilming,másod-filmezés
second,második
transcript,másodpéldány
others,mások
bride,mátka
still,még
pregnantoutofwedlock,megesett
placeofmarriage,megesketéshelye
he/shedies,meghal
deceased,meghalt
totakeawife,megházasodni
married,megházasult
deceased,megholt
appeared,megjelent
hechristens,megkeresztel
tomarry,megnősülni
county,megye
tuberculosis,mellbetegség
nextto,mellett
worthy,méltó
howmuchtime,mennyiideje
daughter-in-law,meny
bride,menyasszony
tetanus,merevgörcs
mile,mérföld
howmanymiles,mérföldnyire
because,mert
craft,mesterség
butcher,mészáros
meadow,mező
cropwarden,mezőőr
market-town,mezőváros
mile,érföld
becauseof,miatt
all,mind
each,minden
always,mindig
both,mindkettő
like,mint
residesheresincewhen,miótaélitt
since,mivel
miller,molnár
Moravia,Morvaország
now,most
step,mostoha-
step-mother,mostohaanya
step-father,mostohaapa
step-child,mostohagyerek
ofJewishreligion,Mózesvallású
Jewish,Mózesvallású
past,múlt
worker,munkás
index,mutató
markettown,mezőváros
female,nő
large,nagy
grandmother,nagyanya
grandfather,nagyapa
uncle,nagybácsi
hisorheruncle,nagybátyja
oflegalage,nagykorú
aunt,nagynéni
esquire,nagyságos
grandparents,nagyszülők
hair,naj
day,nap
dayof,napja
daylaborer,napszámos
four,négy
fourth,negyedik
forty,negyven
thelate,néhai
hiswife,neje
without,nélkül
not,nem
unknown,nemtudatik
sexof,neme
noble,nemes
nobility,nemesség
German,német
generation,nemzedék
genealogy,nemzedékrend
eldersister,néne
aunt,néni
population,népesség
census,népszámlálás
name,név
nameof,neve
names,nevek
nameindex,névmutató
nameindexof,névsora
nameless,névtelen
called,nevű
theirnames,nevük
namechanges,névváltoztatások
isnot,nincs
female,nő
female,női
female,nőnemű
marriedman,nős
sister,nőtestvér
single,nőtlen
November,november
sister,nővér
Mr,nagyságos
retired,nyugalmazott
goiter,nyakdaganat
inthesummerof,nyarán
convulsions,nyavalyatörés
language,nyelv
statement,nyilatkozat
public,nyilvános
eight,nyolc
eighth,nyolcadik
eighty,nyolcvan
retired,nyugalmazott
west,nyugat
old,ó
he,ő
his/heryoungerbrother,öccse
they,ők
causeof,oka
document,okirat
document,okmány
October,október
Romanian,oláh
Italian,olasz
page,oldal
toread,olvasni
hour,óra
o'clock,órakor
howmanyhoursdistant,órányira
old,öreg
elder,öregebb
oldage,öregség
Armenian,örmény
adoptions,örökbefogadások
inheritance,örökség
Russian,orosz
nose,orr
country,ország
national,országos
orthodox,ortodox
ancestor,ős
schoolteacher,oskolamester
married,összeházasult
fall,ősz
intheautumnof,őszén
Austrian,osztrák
five,öt
since,óta
fifth,ötödik
there,ott
athome,otthon
fifty,ötven
his/her,övé
widow,özvegy
widow,özvegyasszony
widower,özvegyember
distiller,pálankafőző
priest,pap
pair,pár
farmer,paraszt
oddnumberedpages,páratlanoldal
parish,paróchia
parish,parókia
evennumberedpages,párosoldal
Prussia,Paroszország
stream,patak
baker,pék
Friday,péntek
money,pénz
plague,pestis
market,piac
red,piros
forexample,például
rectory,plebánia
parishpriest,plebános
citizen,polgár
occupation,polgáriállása
civilregistration,polgárianyakönyv
status,polgárisorsa
mayor,polgármester
Prussian,porosz
withpreaching,predikacióval
estate,puszta
rabbi,rabi
Serb,rác
tetanus,rágóizomgörcs
cancer,rák
epilepsy,rángógörcs
Reformed,református
Reformed,református
inthemorning,reggel
old,régi
regular,rendes
part,rész
relative,rokon
RomanCatholic,rómaikatolikus
bad,rossz
Ukrainian,rutén
and,s
own,saját
none,semmi
pneumonia,senyvedés
brewer,serföző
grave,sír
scarletfever,skarlát
scurvy,skorbut
brother-in-law,sógor
sister-in-law,sógornő
never,soha
many,sok
registrationnumber,sorszám
consumption,sorvadás
dark,sötet
andsoforth,ésatóbbi
shoemaker,suszter
born,született
tailor,szabó
section,szakasz
number,szám
whoopingcough,szamárköhögés
soapmaker,szappanfőző
tuberculosis,szárazbetegség
his/herbirthplace,származása
hundred,száz
hundredth,századik
poor,szegény
evileye,szegesés
apoplexy,szélhűdés
stroke,szélütés
person,személy
muster,szemle
saint,szent
September,szeptember
Serbian,szerb
Wednesday,szerda
accordingto,szerint
contract,szerzdes
color,szín
heartattack,szívoham
heartdisease,szívtágulás
Slovenian,szlovén
roomer,szobatárs
blond,szőke
servant,szolga
servantgirl,szolgáló
Saturday,szombat
neighbor,szomszéd
dictionary,szótár
weaver,szövő
weaver,szövmunkás
inemergency,szükségben
bornas,született
parent,szülő
residenceoftheparents,szülőklakása
childbirth,szülés
inchildbirth,szülésben
midwife,szülésznő
birth,születés
birthplace,születésihely
wasborn,született
births,születtek
theirparents,szülői
parents,szülők
offspring,szülött
grey,szürke
virgin,szűz
chart,táblázat
member,tag
about,táján
weaver,takács
teacher,tanár
teacher,tanító
witnesses,tanúk
student,tanuló
hamlet,tanya
indexofthings,tárgymutató
society,társaság
contents,tartalom
inthespringtimeof,tavaszán
far,távol
absence,távollét
distance,távolság
brickmaker,téglavető
yesterday,tegnap
cowherd,tehenész
thehonorable,tekintetes
winter,tél
inthewinterof,telén
landholder,telkes
smalllandholder,telkesgazda
burial,temetés
cemetery,temető
sexton,temetőőr
church,templom
map,térkép
height,termete
biological,természetes
area,terület
body,test
sibling,testvér
wrong,téves
typhus,tífusz
tanner,timár
River,Tiszáninnen
River,Tiszántúl
ten,tíz
tenth,tizedik
eleven,tizenegy
thirteen,tizenhárom
sixteen,tizenhat
seventeen,tizenhét
twelve,tizenkettő
nineteen,tizenkilenc
fourteen,tizennégy
eighteen,tizennyolc
fifteen,tizenöt
lake,tó
throat,torok
Turkish,török
diptheria,torokgyík
history,történelem
law,törvény
legitimate,törvényes
illegitimate,törvénytelen
Slovak,tót
knowshow,tud
pneumonia,tüdőgyulladás
tuberculosis,tüdőkórság
consumption,túdősorvadás
tuberculosis,tüdővész
very,túl
owner,tulajdonos
bargeman,tutajos
same,ugyanaz
atthesameplace,ugyanitt
new,új
newlyweds,ujházasok
gypsy,újmagyar
gypsy,újpolgár
again,újra
newborn,újszülött
Ukranian,ukrán
Unitarian,nitárius
Unitarian,unitárius
grandchild,unoka
malecousin,unokafivér
niece,unokahúg
femalecousin,unokanőver
nephew,unokaöccs
cousin,unokatestvér
gentleman,úr
communions,úrvacsora-vétel
street,út
after,után
street,utca
passport,útlevél
last,utolsó
givenname,utónév
hunter,vadász
or,vagy
propertytaxrolls,vagyonösszeirások
blind,vak
religion,vallás
religionteacher,vallástanító
is,van
are,vannak
fortress,vár
shoemaker,varga
county,vármegye
town,város
Sunday,vasárnap
weaknessofoldage,végelgyengülés
attheendof,végén
will,végrendelet
mixedreligionmarriages,vegyesházasságok
withhim,vele
guest,vendég
oldmaid,vénkisassony
oldage,vénség
hemorrhage,vérfolyás
dysentery,vérhas
hemmorhage,vérömlés
communions,vétel
surname,vezetéknév
area,vidék
Slovene,vindus
relationship,viszony
water,víz
drowning,vizbefúllás
dropsy,vízibetegség
hydrophopia,víziszony
dropsy,vízkór
examination,vizsgálat
county,vármegye
son-in-law,vő
bridegroom,vőlegény
valley,völgy
scarletfever,vörheny
green,zöld
cottager,zsellér
Jewish,zsidó
synagogue,zsinagóga